sku,name,brand,price,price_text
0400023596,BL ALL SEASON RADIATOR CONCENTRATED COOLANT - GREEN - 500ML,BL,5.6075,$5.6075
0400023597,BL ALL SEASON RADIATOR CONCENTRATED COOLANT - BLUE - 500ML,BL,5.6075,$5.6075
0400023598,BL ALL SEASON RADIATOR CONCENTRATED COOLANT - PINK - 500ML,BL,5.6075,$5.6075
040002362,BL WATER BASE DEGREASER -25L,BL,55.0000,$55.0000
040002366,BL 2T MOTOR OIL TC-W III -1L,BL,9.0000,$9.0000
040002367,BL 2T MOTOR OIL TC-W III -18L,BL,82.0000,$82.0000
040002371,BL ENGINE OIL LIFESTYLE 15W/40 - 5L,BL,23.6111,$23.6111
040002381,BL SAE 30 OIL - 18L,BL,71.5880,$71.5880
040002382,BL SAE 30 OIL - 200L,BL,625.0000,$625.0000
040002383,BL SAE 50 OIL - 18L,BL,72.1296,$72.1296
040002391,BL BRAKE OIL DOT 4 - 1L,BL,10.0000,$10.0000
0400023910,BL BRAKE OIL DOT 3 - 1L,BL,8.3333,$8.3333
04000239201,CALTEX MEROPA 150 18L,NO BRAND,194.4019,$194.4019
04000239202,CALTEX MEROPA 220 18L,NO BRAND,130.0000,$130.0000
04000239206,CALTEX HYDRAULIC OIL RANDO HD68 200L,NO BRAND,700.0000,$700.0000
04000239301,BARDAHL GEAR OIL MAXTRAN 5000 SAE 85W-140 18L,NO BRAND,80.0000,$80.0000
04000239401,BOGE SYPREM S COOLANTS 5L,NO BRAND,185.0000,$185.0000
04000239441,SK-TWO RADIATOR COOLANT 18L,NO BRAND,90.0000,$90.0000
04000240102,SPC SDM705 SAE40 CD/SF ENGINE OIL 18L,NO BRAND,65.0000,$65.0000
04000240112,SPC HITO HD32 HYDRAULIC OIL 18L,NO BRAND,62.0000,$62.0000
04000240114,SPC HITO HD68 HYDRAULIC OIL 18L,NO BRAND,62.0000,$62.0000
04000240122,SPC GL5 GEAR LUBE SAE 80W90 18L,NO BRAND,85.0000,$85.0000
04000240124,SPC GL5 GEAR LUBE SAE 85W140 18L,NO BRAND,85.0000,$85.0000
04000240132,SPC SOLUCUT GP CUTTING OIL ( COOLANT ) 18L,NO BRAND,85.0000,$85.0000
04000240136,SPC AUTOMATIC TRANSMISSION FLUID DIII - 20L,NO BRAND,125.0000,$125.0000
04000240142,SPC GREASE LEP2 MULTI-PURPOSE 16L,NO BRAND,102.0000,$102.0000
04000240205,MULTI PURPOSE GREASE - 15KG,NO BRAND,35.0000,$35.0000
04000240211,BETTIS GREASE ESL-5 & 10 ACTUATOR LUBRICANT (MI#607) PART NOS:VA071164,NO BRAND,105.0000,$105.0000
